                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.85997,                0.60458,                 1.2029,                0.84261,                0.75061,                0.82556,                0.60473,                 1.0475,                0.76234,                 1.2554,               0.004522,               0.004522,               0.004522
                     86,                0.85219,                0.60452,                    1.2,                0.84231,                0.75085,                 0.8259,                 0.6052,                 1.0473,                0.76213,                 1.2555,               0.004456,               0.004456,               0.004456
                     87,                0.85187,                0.60444,                 1.1987,                0.84346,                0.75092,                0.82637,                 0.6057,                  1.047,                0.76133,                 1.2553,                0.00439,                0.00439,                0.00439
                     88,                 0.8486,                0.59921,                 1.1932,                0.84542,                 0.7501,                0.82668,                0.60603,                 1.0468,                0.76052,                 1.2553,               0.004324,               0.004324,               0.004324
                     89,                0.84655,                0.59911,                 1.1961,                0.84695,                 0.7499,                0.82659,                0.60618,                 1.0467,                0.76002,                 1.2552,               0.004258,               0.004258,               0.004258
                     90,                0.84721,                0.59308,                 1.1935,                0.84888,                0.74937,                0.82697,                0.60662,                 1.0467,                0.75968,                 1.2553,               0.004192,               0.004192,               0.004192
                     91,                0.83743,                0.58588,                 1.1868,                0.84733,                0.75106,                0.82747,                0.60703,                 1.0465,                0.75919,                 1.2553,               0.004126,               0.004126,               0.004126
                     92,                0.84603,                0.59371,                 1.1924,                0.84818,                0.75106,                0.82761,                0.60736,                 1.0463,                0.75882,                 1.2552,                0.00406,                0.00406,                0.00406
                     93,                0.82843,                0.57548,                 1.1872,                0.84936,                0.75078,                0.82797,                0.60782,                 1.0462,                0.75875,                 1.2552,               0.003994,               0.003994,               0.003994
                     94,                0.83801,                0.58303,                 1.1862,                0.85074,                0.75111,                 0.8287,                0.60829,                  1.046,                0.75844,                 1.2551,               0.003928,               0.003928,               0.003928
                     95,                0.82769,                0.56638,                 1.1833,                 0.8523,                0.74989,                0.82883,                0.60865,                 1.0459,                0.75811,                 1.2552,               0.003862,               0.003862,               0.003862
                     96,                0.83509,                0.57013,                 1.1846,                0.85141,                0.75048,                0.82869,                0.60884,                 1.0458,                 0.7573,                 1.2553,               0.003796,               0.003796,               0.003796
                     97,                0.82691,                0.56848,                 1.1796,                0.85187,                0.75004,                0.82892,                0.60921,                 1.0456,                0.75651,                 1.2553,                0.00373,                0.00373,                0.00373
                     98,                0.82507,                0.56219,                 1.1753,                0.85182,                0.75001,                 0.8293,                0.60955,                 1.0456,                0.75602,                 1.2554,               0.003664,               0.003664,               0.003664
                     99,                0.81918,                0.55787,                 1.1737,                0.85201,                0.75019,                0.82954,                0.60971,                 1.0456,                0.75588,                 1.2555,               0.003598,               0.003598,               0.003598
                    100,                0.81967,                0.55423,                 1.1751,                0.85245,                0.75061,                0.82987,                0.60981,                 1.0456,                0.75584,                 1.2556,               0.003532,               0.003532,               0.003532
                    101,                0.81945,                0.55381,                 1.1727,                0.85218,                0.75077,                0.83015,                0.61006,                 1.0456,                0.75544,                 1.2555,               0.003466,               0.003466,               0.003466
                    102,                0.81708,                0.54928,                 1.1727,                0.85281,                0.75077,                0.83012,                0.61037,                 1.0453,                0.75532,                 1.2555,                 0.0034,                 0.0034,                 0.0034
                    103,                0.81278,                0.54647,                 1.1721,                0.85261,                0.75129,                0.83053,                 0.6106,                 1.0454,                0.75541,                 1.2556,               0.003334,               0.003334,               0.003334
                    104,                0.81599,                0.54882,                 1.1714,                 0.8533,                 0.7507,                0.83043,                0.61064,                 1.0453,                0.75538,                 1.2556,               0.003268,               0.003268,               0.003268
                    105,                0.80955,                0.54336,                 1.1702,                0.85185,                0.75156,                0.83041,                0.61094,                 1.0453,                0.75562,                 1.2557,               0.003202,               0.003202,               0.003202
                    106,                0.80663,                0.53695,                 1.1657,                 0.8548,                0.74917,                0.83061,                0.61112,                 1.0453,                0.75588,                 1.2557,               0.003136,               0.003136,               0.003136
                    107,                0.80354,                 0.5378,                 1.1656,                0.85543,                 0.7486,                0.83079,                 0.6113,                 1.0453,                0.75624,                 1.2558,                0.00307,                0.00307,                0.00307
                    108,                0.80468,                0.53422,                  1.161,                0.85617,                0.74841,                0.83099,                0.61152,                 1.0453,                0.75597,                 1.2557,               0.003004,               0.003004,               0.003004
                    109,                0.79157,                 0.5229,                 1.1558,                0.85577,                0.74901,                 0.8313,                0.61186,                 1.0453,                0.75575,                 1.2558,               0.002938,               0.002938,               0.002938
                    110,                0.80287,                0.52951,                 1.1609,                0.85487,                0.75017,                 0.8313,                0.61203,                 1.0454,                 0.7559,                 1.2559,               0.002872,               0.002872,               0.002872
                    111,                0.79309,                0.52341,                 1.1566,                0.85561,                0.75007,                0.83137,                0.61201,                 1.0454,                0.75617,                  1.256,               0.002806,               0.002806,               0.002806
                    112,                0.79136,                0.51803,                 1.1549,                0.85606,                0.74968,                0.83166,                0.61219,                 1.0455,                0.75628,                 1.2562,                0.00274,                0.00274,                0.00274
                    113,                0.78882,                0.51612,                 1.1517,                0.85549,                0.75035,                 0.8316,                0.61227,                 1.0455,                0.75629,                 1.2563,               0.002674,               0.002674,               0.002674
                    114,                0.78516,                0.51036,                 1.1476,                0.85606,                0.74995,                0.83169,                 0.6125,                 1.0455,                 0.7564,                 1.2564,               0.002608,               0.002608,               0.002608
                    115,                0.79287,                0.51242,                 1.1562,                0.85559,                0.75039,                0.83173,                0.61264,                 1.0455,                 0.7566,                 1.2565,               0.002542,               0.002542,               0.002542
                    116,                0.78096,                0.51226,                 1.1486,                  0.856,                0.75051,                0.83176,                0.61291,                 1.0454,                0.75675,                 1.2564,               0.002476,               0.002476,               0.002476
                    117,                0.77685,                0.50493,                 1.1464,                0.85634,                0.75026,                0.83176,                0.61289,                 1.0455,                0.75677,                 1.2566,                0.00241,                0.00241,                0.00241
                    118,                0.78004,                0.50165,                 1.1467,                0.85555,                0.75058,                0.83179,                 0.6132,                 1.0455,                0.75697,                 1.2567,               0.002344,               0.002344,               0.002344
                    119,                0.77988,                 0.5001,                 1.1422,                0.85652,                0.75004,                0.83179,                0.61336,                 1.0455,                0.75728,                 1.2568,               0.002278,               0.002278,               0.002278
                    120,                0.78061,                0.50002,                 1.1424,                 0.8548,                0.75148,                0.83196,                0.61355,                 1.0455,                0.75764,                 1.2568,               0.002212,               0.002212,               0.002212
                    121,                0.77214,                0.49433,                 1.1378,                 0.8547,                0.75152,                0.83207,                0.61388,                 1.0455,                0.75794,                  1.257,               0.002146,               0.002146,               0.002146
                    122,                0.76611,                0.48907,                 1.1348,                0.85519,                0.75152,                0.83215,                0.61393,                 1.0455,                0.75829,                 1.2571,                0.00208,                0.00208,                0.00208
                    123,                0.76851,                0.49164,                 1.1344,                0.85577,                0.75149,                0.83225,                0.61404,                 1.0456,                0.75842,                 1.2572,               0.002014,               0.002014,               0.002014
                    124,                0.76413,                0.48626,                  1.139,                0.85659,                0.75099,                 0.8324,                0.61428,                 1.0456,                0.75867,                 1.2574,               0.001948,               0.001948,               0.001948
                    125,                0.76564,                0.48503,                 1.1325,                0.85633,                0.75121,                0.83226,                0.61458,                 1.0456,                0.75902,                 1.2575,               0.001882,               0.001882,               0.001882
                    126,                0.76256,                0.47824,                 1.1268,                0.85671,                0.75108,                0.83241,                0.61468,                 1.0456,                0.75936,                 1.2576,               0.001816,               0.001816,               0.001816
                    127,                0.75778,                0.47632,                 1.1269,                0.85675,                0.75137,                0.83254,                0.61494,                 1.0456,                0.75983,                 1.2576,                0.00175,                0.00175,                0.00175
                    128,                0.75198,                0.47153,                 1.1239,                0.85724,                0.75148,                0.83288,                0.61517,                 1.0457,                0.76044,                 1.2579,               0.001684,               0.001684,               0.001684
