                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.2192,                0.79846,                 1.3973,                0.66954,                0.58691,                0.62619,                0.39879,                  1.285,                0.89363,                 1.4407,                0.00307,                0.00307,                0.00307
                    108,                 1.2135,                  0.797,                 1.3947,                0.66762,                0.58855,                0.62645,                0.39911,                 1.2851,                0.89355,                 1.4407,               0.003004,               0.003004,               0.003004
                    109,                 1.2144,                0.80122,                 1.3934,                0.66598,                0.58861,                0.62649,                 0.3994,                 1.2857,                0.89326,                 1.4412,               0.002938,               0.002938,               0.002938
                    110,                  1.206,                0.79003,                 1.3909,                0.65857,                0.59501,                0.62583,                0.39951,                  1.286,                0.89322,                 1.4416,               0.002872,               0.002872,               0.002872
                    111,                 1.2056,                0.78717,                 1.3854,                0.65502,                0.59757,                0.62598,                 0.3997,                 1.2867,                0.89319,                 1.4422,               0.002806,               0.002806,               0.002806
                    112,                  1.204,                0.78464,                 1.3872,                0.65727,                 0.5988,                0.62609,                0.39998,                 1.2866,                  0.892,                 1.4422,                0.00274,                0.00274,                0.00274
                    113,                 1.2059,                0.78422,                 1.3928,                  0.662,                0.59329,                0.62612,                0.39929,                 1.2859,                0.89095,                 1.4419,               0.002674,               0.002674,               0.002674
                    114,                 1.2043,                0.77894,                 1.3923,                0.66736,                0.58994,                0.62507,                0.39923,                 1.2863,                0.89104,                 1.4421,               0.002608,               0.002608,               0.002608
                    115,                 1.2048,                0.78521,                 1.3955,                 0.6677,                0.58927,                0.62511,                0.39912,                 1.2867,                0.89089,                 1.4427,               0.002542,               0.002542,               0.002542
                    116,                 1.2097,                0.78573,                 1.3941,                0.66022,                0.59387,                0.62598,                 0.3993,                 1.2869,                0.89099,                 1.4428,               0.002476,               0.002476,               0.002476
                    117,                 1.2025,                0.78186,                 1.3911,                 0.6631,                0.59226,                0.62699,                0.40002,                 1.2873,                0.89068,                 1.4427,                0.00241,                0.00241,                0.00241
                    118,                 1.2061,                 0.7818,                 1.3859,                 0.6606,                0.59443,                0.62609,                0.39953,                 1.2874,                0.89078,                 1.4426,               0.002344,               0.002344,               0.002344
                    119,                 1.1984,                0.77335,                 1.3854,                0.65732,                0.59528,                 0.6258,                 0.3996,                 1.2875,                0.89099,                 1.4428,               0.002278,               0.002278,               0.002278
                    120,                 1.1996,                0.78017,                 1.3913,                0.65918,                0.59407,                0.62611,                 0.3998,                 1.2872,                0.89135,                 1.4425,               0.002212,               0.002212,               0.002212
                    121,                 1.1966,                0.76845,                 1.3849,                0.65961,                0.59303,                0.62576,                0.39958,                 1.2877,                0.89153,                  1.443,               0.002146,               0.002146,               0.002146
                    122,                 1.1966,                0.76737,                 1.3835,                0.66347,                0.58945,                0.62606,                0.39974,                 1.2878,                0.89157,                 1.4432,                0.00208,                0.00208,                0.00208
                    123,                 1.1939,                0.76766,                 1.3789,                0.66321,                 0.5896,                0.62617,                0.39967,                  1.288,                0.89145,                 1.4433,               0.002014,               0.002014,               0.002014
                    124,                 1.1926,                0.76488,                 1.3827,                 0.6611,                0.59157,                0.62633,                0.39911,                 1.2885,                0.89126,                 1.4439,               0.001948,               0.001948,               0.001948
                    125,                  1.188,                0.76711,                 1.3804,                0.66491,                0.58991,                0.62591,                0.39899,                 1.2886,                0.89164,                 1.4441,               0.001882,               0.001882,               0.001882
                    126,                 1.1953,                0.76461,                 1.3802,                0.66105,                0.59255,                0.62608,                0.39906,                 1.2889,                 0.8912,                 1.4444,               0.001816,               0.001816,               0.001816
                    127,                 1.1871,                 0.7541,                 1.3778,                0.66349,                0.59092,                0.62632,                0.39886,                 1.2892,                0.89148,                 1.4445,                0.00175,                0.00175,                0.00175
                    128,                 1.1819,                0.75066,                 1.3764,                0.65959,                0.59458,                0.62624,                0.39885,                 1.2893,                0.89122,                 1.4446,               0.001684,               0.001684,               0.001684
                    129,                 1.1865,                 0.7555,                  1.372,                0.65488,                0.59623,                0.62562,                0.39896,                 1.2893,                0.89098,                 1.4446,               0.001618,               0.001618,               0.001618
                    130,                 1.1872,                0.75434,                 1.3725,                0.65584,                0.59665,                0.62626,                0.39911,                 1.2895,                0.89073,                 1.4448,               0.001552,               0.001552,               0.001552
                    131,                  1.183,                0.74798,                 1.3742,                0.65886,                0.59548,                0.62632,                0.39899,                 1.2897,                0.89126,                 1.4447,               0.001486,               0.001486,               0.001486
                    132,                 1.1828,                0.74507,                 1.3752,                0.65687,                 0.5967,                0.62579,                0.39883,                 1.2902,                0.89139,                 1.4449,                0.00142,                0.00142,                0.00142
                    133,                 1.1809,                0.74457,                 1.3716,                0.65547,                 0.5985,                0.62552,                0.39861,                 1.2902,                0.89144,                 1.4448,               0.001354,               0.001354,               0.001354
                    134,                 1.1785,                0.73855,                 1.3664,                0.65945,                0.59548,                0.62539,                0.39826,                 1.2904,                0.89152,                 1.4449,               0.001288,               0.001288,               0.001288
                    135,                 1.1737,                0.74413,                 1.3635,                0.65711,                0.59557,                0.62491,                0.39808,                 1.2907,                0.89178,                 1.4451,               0.001222,               0.001222,               0.001222
                    136,                 1.1738,                0.73936,                 1.3685,                0.65635,                0.59664,                0.62466,                0.39798,                 1.2909,                 0.8918,                 1.4454,               0.001156,               0.001156,               0.001156
                    137,                 1.1743,                0.73495,                 1.3664,                0.66295,                0.59188,                0.62476,                0.39797,                 1.2911,                0.89216,                 1.4456,                0.00109,                0.00109,                0.00109
                    138,                 1.1728,                0.73756,                 1.3651,                 0.6642,                0.59089,                 0.6246,                0.39774,                 1.2911,                0.89206,                 1.4457,               0.001024,               0.001024,               0.001024
                    139,                 1.1677,                0.72758,                 1.3612,                0.66376,                0.59106,                0.62449,                0.39749,                 1.2916,                0.89275,                 1.4459,               0.000958,               0.000958,               0.000958
                    140,                 1.1738,                0.73076,                 1.3639,                0.66016,                0.59265,                0.62449,                0.39736,                 1.2917,                0.89247,                 1.4459,               0.000892,               0.000892,               0.000892
                    141,                 1.1644,                0.72661,                  1.365,                 0.6605,                 0.5931,                0.62444,                0.39741,                 1.2919,                0.89271,                 1.4462,               0.000826,               0.000826,               0.000826
                    142,                 1.1634,                0.72598,                 1.3597,                0.66059,                 0.5934,                 0.6242,                0.39732,                  1.292,                0.89326,                 1.4464,                0.00076,                0.00076,                0.00076
                    143,                 1.1641,                  0.721,                 1.3636,                0.66251,                0.59302,                0.62404,                0.39718,                 1.2922,                0.89365,                 1.4466,               0.000694,               0.000694,               0.000694
                    144,                 1.1618,                0.71716,                 1.3598,                0.66228,                 0.5922,                0.62373,                0.39702,                 1.2924,                0.89347,                 1.4468,               0.000628,               0.000628,               0.000628
                    145,                 1.1636,                0.71608,                 1.3539,                0.66136,                0.59313,                0.62391,                0.39719,                 1.2926,                0.89345,                 1.4471,               0.000562,               0.000562,               0.000562
                    146,                  1.164,                0.71828,                 1.3604,                0.66036,                0.59393,                0.62359,                0.39708,                 1.2926,                 0.8937,                 1.4473,               0.000496,               0.000496,               0.000496
                    147,                 1.1619,                0.72192,                 1.3529,                0.66143,                 0.5938,                0.62355,                0.39708,                 1.2928,                0.89396,                 1.4473,                0.00043,                0.00043,                0.00043
                    148,                 1.1564,                0.71355,                 1.3533,                0.66316,                0.59118,                0.62325,                0.39687,                 1.2928,                 0.8941,                 1.4474,               0.000364,               0.000364,               0.000364
                    149,                 1.1592,                0.71057,                 1.3582,                 0.6617,                0.59312,                0.62334,                0.39683,                 1.2931,                 0.8944,                 1.4477,               0.000298,               0.000298,               0.000298
                    150,                 1.1532,                 0.7078,                 1.3522,                0.66221,                0.59228,                0.62323,                0.39681,                 1.2934,                0.89456,                 1.4479,               0.000232,               0.000232,               0.000232
